Optic_TM;Th;Color;Lines;TO;TO_dens;Roll;NewGroup;NewCombo;Quant;Vs;Downtime
;20,00;9;3;3;12,53;420;0;1;15,61;3,30;0,14
;20,00;10;3;3;9,75;540;0;1;16,12;3,60;0,13
;20,00;7;2;2;7,41;540;0;1;16,01;2,82;0,47
;20,00;10;3;3;12,53;420;1;1;14,57;1,68;0,53
;20,00;9;8;4;50,17;460;0;1;26,36;4,92;0,13
;20,00;7;2;2;7,41;540;0;1;15,80;5,76;
;20,00;6;3;3;12,53;420;0;1;16,14;3,48;0,11
;20,00;9;3;3;12,53;420;0;1;16,37;5,46;
;20,00;7;3;2;9,57;550;1;1;16,55;1,92;0,43
;20,00;9;3;2;12,53;420;0;1;16,98;3,84;0,15
;20,00;9;3;3;12,53;420;0;;16,11;4,20;0,26
;20,00;9;3;3;12,53;420;0;1;14,63;2,82;0,29
;20,00;10;3;3;12,53;420;0;1;17,09;4,26;
;20,00;10;8;5;50,17;460;1;1;14,14;2,16;0,38
;20,00;8;3;3;12,53;420;0;1;16,53;3,42;0,34
;20,00;8;8;4;50,17;460;0;1;26,38;4,92;0,22
;20,00;6;4;4;18,47;380;0;1;26,45;3,30;0,48
;20,00;6;4;4;18,47;380;0;1;24,60;3,48;0,33
;20,00;6;4;4;18,47;380;0;;25,55;6,84;
;20,00;6;4;4;18,47;380;0;;24,39;9,78;
;20,00;7;3;1;9,75;540;0;1;14,64;5,16;
;20,00;9;3;3;12,53;420;0;1;16,82;3,60;0,21
;20,00;7;3;1;12,53;420;0;;15,20;1,92;0,43
;20,00;9;3;3;12,53;420;0;1;16,85;5,34;
;20,00;6;4;1;15,15;440;0;1;25,45;8,70;
;20,00;8;3;3;12,50;500;0;1;23,74;4,14;0,17
;20,00;7;3;3;12,53;420;0;1;13,69;2,52;
;20,00;10;3;2;12,53;420;0;1;16,31;3,06;0,19
;20,00;8;3;2;12,53;420;0;1;14,64;5,16;
;20,00;7;3;1;12,53;420;0;1;15,31;3,84;
;20,00;7;3;1;12,53;420;0;;31,76;7,92;
;20,00;7;3;1;12,53;420;0;;14,86;2,70;
;20,00;7;3;1;12,53;420;0;;14,99;4,98;
;20,00;7;3;1;12,53;420;0;;16,68;4,44;
;20,00;10;3;3;9,75;540;0;1;15,53;3,24;0,14
;20,00;9;3;3;12,53;420;0;1;16,51;3,90;0,12
;20,00;7;3;3;9,92;560;0;1;19,43;4,38;0,15
;20,00;8;3;3;12,53;420;0;1;16,15;5,40;
;20,00;8;3;3;9,75;540;0;1;17,54;5,40;
;20,00;9;3;3;12,53;420;0;1;15,29;6,12;
;20,00;8;3;2;9,75;540;0;1;16,14;3,12;0,36
;20,00;7;3;3;12,53;420;0;1;14,83;2,52;0,42
;20,00;10;3;3;12,53;420;0;1;16,30;3,54;0,11
;20,00;8;4;2;15,15;440;0;1;30,45;6,18;0,10
;20,00;8;2;2;7,41;540;0;1;17,17;4,50;
;20,00;9;3;3;12,53;420;0;1;15,57;4,92;
;20,00;8;8;8;50,17;460;1;1;15,91;3,30;0,21
;20,00;8;3;3;12,53;420;0;1;16,47;3,96;0,20
;20,00;9;3;3;9,75;540;0;1;16,76;3,54;0,19
;20,00;7;3;1;12,53;420;0;1;30,09;8,22;
;20,00;6;4;3;18,47;380;0;1;27,18;5,46;0,10
;20,00;8;3;2;9,75;540;0;1;15,38;3,84;
;20,00;5;8;4;50,17;460;0;1;65,95;12,18;
